State A,State A name,Conti-guity ,Shared river,Number shared rivers,Type of shared river,River(s),Length of river boundaries,Total length,Drainage basin(s),Size of basin in  km2,Total,Size of basin in state A,Total,Size of basin in state B,Total,Upstream State,Upstream State average,State B,State B name,Conti-guity start year,Conti-guity end year,,,,
2,USA,1,1,8,4,"St. Lawrence, 
Niagara River, Detroit River, 
St. Clair, Pigeon River, 
255,Germany/Prussia,1,1,11,4,"Inn, Salzach, Saalach, Donau, Achen, Achen-tal, Isartal,  Wetterstein-Geb,  Lorsach, Lech, Iller",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B,B,B,B",2,305,Austria,1919,1937,,,,
255,Germany/Prussia,1,1,11,4,"Inn, Salzach, Saalach, Donau, Achen, Achen-tal, Isartal,  Wetterstein-Geb,  Lorsach, Lech, Iller",0,0,0,0,0,0,0,0,0,"B,B,B,B,B,B,B,B,B,B,B",2,305,Austria,1990,2016,,,,
255,Germany/Prussia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,Hungary,1938,1944,,,,
255,Germany/Prussia,1,1,9,4,"Regen, Ohre, Elbe, Neisse, Jizera, Nysa, Odra, Olse, Wisla",0,0,0,0,0,0,0,0,0,"B,B,B,B,A,B,B,B,B",2,315,Czechoslovakia,1918,1938,,,,
255,Germany/Prussia,1,1,4,4,"Regen, Ohre, Elbe, Neisse",0,0,0,0,0,0,0,0,0,"B,B,B,B",2,315,Czechoslovakia,1990,1992,,,,
255,Germany/Prussia,1,1,4,4,"Regen, Ohre, Elbe, Neisse",0,0,0,0,0,0,0,0,0,"B,B,B,B",2,316,The Czech Republic,1993,2016,,,,
255,Germany/Prussia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Italy/Sardinia,1938,1944,,,,
255,Germany/Prussia,1,1,1,2,Mura,35,35,Donau,796250,796250,0,0,179000,179000,A,1,345,Yugoslavia (Serbia),1938,1940,,,,
255,Germany/Prussia,1,1,5,4,"Mura, Dràva, Dravinja, Slatina, Sava",0,0,Donau,796250,796250,0,0,0,0,"A,A,A,A,A",1,345,Yugoslavia (Serbia),1944,1944,,,,
255,Germany/Prussia,1,1,8,4,"Prosna, Warta, Wista, Wkra, Orzyc, Omulew, Szkwa, Neman",0,0,Wisla,193000,193000,0,0,0,0,"B,B,B,A,A,A,A,B",3,365,Russia (USSR),1816,1918,,,,
255,Germany/Prussia,1,1,2,2,"Bug, San",0,0,Wisla,193000,193000,0,0,0,0,"B,B",2,365,Russia (USSR),1939,1940,,,,
255,Germany/Prussia,1,1,1,3,Neman,0,0,0,0,0,0,0,0,0,B,2,368,Lithuania,1918,1939,,,,
255,Germany/Prussia,1,1,1,1,Süderau,0,0,0,0,0,0,0,0,0,B,2,390,Denmark,1866,1939,,,,
255,Germany/Prussia,1,1,1,1,Süderau,0,0,0,0,0,0,0,0,0,B,2,390,Denmark,1990,2016,,,,
260,GFR,1,1,3,4,"Elbe, Ohre, Jeetze","90, 10,10",110,Elbe,144500,144500,80000,80000,12600,12600,"A,B,B",2,265,DDR,1955,1989,,,,
260,GFR,1,1,5,4,"Inn, Salzach, Saalach, Donau","80, 60, 10, 30",180,Donau,796250,796250,56000,56000,79549,79549,B,2,305,Austria,1955,1989,,,,
260,GFR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Czechoslovakia,1955,1989,,,,
260,GFR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,Denmark,1955,1989,,,,
265,DDR,1,1,2,1,"Oder, Neisse","170, 165",335,Oder,126000,126000,13000,13000,103800,103800,"A,B",3,290,Poland,1954,1989,,,,
265,DDR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,Czechoslovakia,1954,1989,,,,
